177983,"Hawkins Hill Data"
63839,"Barton"
216134,"Belmont"
177239,"Belmont National System"
215879,"Climie"
215878,"Climie (IRLP 6931)"
215877,"Climie Data"
207983,"Kapiti National System"
207983,"Kapiti Voice & Data"
102102,"Kapiti"
102127,"Kapiti"
104127,"Kapiti Digi"
102112,"Lower Hutt"
163360,"Lower Hutt"
174748,"Upper Hutt"
116876,"Colonial Knob"
177895,"Titahi Bay"
63842,"Masterton"
207721,"Southern Wairarapa"
215191,"Rewa"
63840,"Pariwhariki"
177645,"Wairarapa"
177332,"Wairarapa National System"
179120,"Mt Victoria"
177977,"Mt Victoria"
221215,"Ngaio Reservoir"
177983,"Hawkins Hill Data"
# Beacons
202076,"Muriwai 5cm"
215921,"Auckland 2m"
215920,"Auckland 70cm"
54117,"Hamilton 2m"
54116,"Hamilton 70cm"
54118,"Hamilton 23cm"
59682,"New Plymouth 2m"
59679,"New Plymouth 70cm"
70236,"Hawkes Bay 6m"
55710,"Hawkes Bay 2m"
155254,"Hawkins Hill  2m"
155265,"Hawkins Hill 70cm"
155267,"Hawkins Hill 23cm"
177974,"Hawkins Hill 3cm"
178031,"Hawkins Hill 12mm"
177985,"Lower Hutt 32cm"
177888,"Lower Hutt 12cm"
215940,"Upper Hutt 10m"
215939,"Upper Hutt 6m"
202338,"International Beacon Project"
202048,"Blenheim 6m"
83591,"Greymouth 6m"
158611,"Hokitika 2m"
59673,"Christchurch 2m"
59675,"Christchurch 70cm"
# DIGIs
209773,"North Shore"
217242,"North Shore (1k2)"
209772,"North Shore (9k6)"
174404,"Western Suburbs APRS Digipeater"
207909,"Whitford APRS"
207996,"Hamilton"
216082,"Tauranga"
209786,"Te Puke"
116673,"Waitomo"
208957,"Te Kapua"
143014,"Gisborne"
218006,"Hawkes Bay APRS"
220125,"Forest Lakes Road APRS"
100016,"Nelson"
209761,"Nelson"
211275,"Malborough"
148480,"Murchison"
148480,"Kaikoura"
161728,"Greymouth"
176536,"Christchurch APRS"
175652,"Timaru APRS"
102079,"Timaru"
102082,"QueensTown"
207927,"Dunedin"
178983,"Dunedin"
101942,"Gore"
#ATV
174069,"Whangarei ATV CH39"
146145,"Auckland ATV CH39"
148707,"Hamilton ATV CH39"
174314,"Gisborne ATV CH39"
174321,"Hawkes Bay ATV CH39"
177973,"Belmount ATV CH39"
209547,"Tasman Bay ATV CH39"
174318,"Blenheim ATV CH39"
156379,"Christchurch ATV CH39"
174313,"Oamaru ATV CH39"
174765,"Oamaru ATV"
156657,"Dunedin ATV CH39"
